iter	Passed	Remaining
408	4761	18522
409	4771	18502
410	4782	18489
411	4793	18476
412	4804	18460
413	4816	18453
414	4829	18444
415	4839	18426
416	4853	18423
417	4865	18416
418	4879	18410
419	4891	18401
420	4903	18392
421	4914	18376
422	4925	18361
423	4936	18347
424	4945	18328
425	4960	18328
426	4970	18309
427	4980	18294
428	4992	18281
429	5003	18269
430	5012	18246
431	5024	18235
432	5037	18230
433	5047	18212
434	5058	18198
435	5070	18188
436	5080	18170
437	5091	18157
438	5100	18135
439	5111	18121
440	5121	18105
441	5132	18091
442	5141	18070
443	5154	18062
444	5164	18045
445	5174	18031
446	5184	18010
447	5194	17994
448	5205	17982
449	5215	17966
450	5227	17953
451	5237	17937
452	5246	17917
453	5256	17899
454	5266	17884
455	5276	17865
456	5288	17854
457	5298	17838
458	5307	17819
459	5320	17813
460	5331	17798
461	5340	17777
462	5353	17770
463	5362	17751
464	5372	17733
465	5381	17714
466	5391	17700
467	5402	17686
468	5413	17672
469	5424	17657
470	5436	17649
471	5447	17633
472	5458	17623
473	5467	17600
474	5480	17594
475	5488	17570
476	5497	17554
477	5507	17535
478	5519	17526
479	5529	17509
480	5541	17500
481	5553	17491
482	5565	17480
483	5574	17461
484	5585	17448
485	5596	17435
486	5607	17420
487	5616	17402
488	5627	17387
489	5638	17376
490	5649	17361
491	5659	17345
492	5668	17328
493	5682	17324
494	5693	17309
495	5703	17293
496	5713	17276
497	5725	17269
498	5736	17255
499	5747	17241
500	5759	17231
501	5769	17215
502	5779	17199
503	5789	17183
504	5801	17174
505	5812	17162
506	5822	17145
507	5833	17132
508	5843	17116
509	5854	17103
510	5864	17087
511	5873	17070
512	5886	17062
513	5896	17048
514	5906	17031
515	5919	17025
516	5933	17019
517	5944	17006
518	5954	16991
519	5966	16980
520	5976	16965
521	5987	16953
522	5999	16942
523	6008	16925
524	6019	16912
525	6028	16894
526	6041	16885
527	6052	16874
528	6064	16863
529	6077	16856
530	6088	16842
531	6096	16823
532	6107	16809
533	6117	16793
534	6129	16783
535	6137	16763
536	6148	16752
537	6161	16744
538	6172	16729
539	6180	16709
540	6189	16693
541	6200	16680
542	6214	16674
543	6223	16657
544	6233	16642
545	6245	16631
546	6256	16618
547	6265	16600
548	6274	16583
549	6287	16575
550	6296	16558
551	6308	16547
552	6317	16530
553	6327	16515
554	6340	16507
555	6350	16494
556	6362	16482
557	6373	16470
558	6383	16454
559	6393	16439
560	6401	16420
561	6414	16412
562	6423	16396
563	6434	16382
564	6444	16368
565	6456	16358
566	6466	16343
567	6476	16328
568	6485	16311
569	6496	16297
570	6506	16284
571	6517	16271
572	6530	16264
573	6541	16250
574	6551	16236
575	6562	16223
576	6572	16208
577	6585	16201
578	6596	16189
579	6608	16179
580	6618	16165
581	6629	16153
582	6638	16135
583	6649	16122
584	6660	16110
585	6671	16098
586	6680	16081
587	6691	16067
588	6702	16055
589	6712	16040
590	6724	16031
591	6735	16019
592	6747	16009
593	6757	15995
594	6767	15980
595	6776	15962
596	6788	15953
597	6799	15941
598	6809	15927
599	6820	15915
600	6831	15901
601	6841	15888
602	6853	15878
603	6865	15868
604	6875	15852
605	6885	15838
606	6897	15829
607	6908	15815
608	6919	15804
609	6930	15793
610	6940	15777
611	6953	15769
612	6963	15756
613	6974	15744
614	6989	15740
615	7000	15728
616	7009	15712
617	7020	15698
618	7031	15687
619	7043	15678
