iter	Logloss
0	0.6692076709
1	0.6519842089
2	0.6315865662
3	0.6167152701
4	0.5964040665
5	0.5816414333
6	0.5665903478
7	0.556363459
8	0.5443596714
9	0.5342506831
10	0.5226205043
11	0.510270516
12	0.5021479852
13	0.4904293442
14	0.4790612511
15	0.4685880589
16	0.4595162803
17	0.4518273398
18	0.4462063429
19	0.4387501629
20	0.4296492937
21	0.4224721069
22	0.4159259468
23	0.4096926933
24	0.4039196598
25	0.3993261728
26	0.3928807997
27	0.3880343119
28	0.3819247305
29	0.3763103974
30	0.3722297462
31	0.3667975735
32	0.3627747012
33	0.3582911691
34	0.354590755
35	0.35001081
36	0.3453140175
37	0.3405941706
38	0.337929113
39	0.3351822985
40	0.329750384
41	0.3267528773
42	0.3234870644
43	0.3181987561
44	0.3149334798
45	0.3117892678
46	0.308603804
47	0.3059379812
48	0.3007064236
49	0.2965876958
50	0.292797662
51	0.2896580646
52	0.2864489497
53	0.2825368054
54	0.2795840713
55	0.2765060369
56	0.2737558129
57	0.2706993161
58	0.2684295588
59	0.2664678518
60	0.2629369756
61	0.2613096291
62	0.2587789345
63	0.2560858803
64	0.2528956444
65	0.2494141956
66	0.2476987604
67	0.2446877731
68	0.2432193399
69	0.2411234307
70	0.2377634245
71	0.2357927297
72	0.2339254783
73	0.2325365819
74	0.2299635239
75	0.2278212879
76	0.225390624
77	0.2243753875
78	0.2224038363
79	0.2199946616
80	0.2177699381
81	0.2159497065
82	0.2135942935
83	0.2115958921
84	0.2096079019
85	0.208062798
86	0.2062739574
87	0.2038904134
88	0.2025695403
89	0.2014714417
90	0.2002774972
91	0.1987778564
92	0.1971571582
93	0.1953488216
94	0.193597181
95	0.1925986173
96	0.1899943697
97	0.1885000873
98	0.1872868518
99	0.1858517629
100	0.1839953371
101	0.1829399122
102	0.1819595321
103	0.1805391923
104	0.1800303471
105	0.1779314554
106	0.1767267574
107	0.1752384975
108	0.173979737
109	0.1723313394
110	0.1708259226
111	0.1691312001
112	0.1670533403
113	0.1650857066
114	0.1633725315
115	0.1614707486
116	0.1599785676
117	0.1589797608
118	0.1577875804
119	0.1564047459
120	0.1550028719
121	0.1537825041
122	0.1521651454
123	0.1519510642
124	0.1512127606
125	0.1500756912
126	0.1487905185
127	0.1479717029
128	0.1460431476
129	0.1450825367
130	0.1438113931
131	0.1426992905
132	0.1420357935
133	0.1406917731
134	0.1394303806
135	0.1383670696
136	0.1370489697
137	0.1361623603
138	0.1352048185
139	0.1343509851
140	0.1326877069
141	0.1315012698
142	0.1306845517
143	0.1298969455
144	0.1292383191
145	0.1283736554
146	0.1276093974
147	0.1265041767
148	0.125505513
149	0.1243719892
150	0.1227681747
151	0.1224764343
152	0.1217499313
153	0.120603174
154	0.1200777691
155	0.1194768026
156	0.1186052322
157	0.1177637608
158	0.1169584239
159	0.1159779875
160	0.1151243804
161	0.1139068386
162	0.1127379232
163	0.1123582109
164	0.1115300134
165	0.1110302167
166	0.1100233291
167	0.1092485012
168	0.1082452523
169	0.1070081682
170	0.1064610291
171	0.1057774926
172	0.1051106983
173	0.1040903547
174	0.1034954011
175	0.1025801401
176	0.101558852
177	0.1002692842
178	0.09984816071
179	0.09936537994
180	0.09853289489
181	0.09779241949
182	0.0971370488
183	0.09618505966
184	0.09519815169
185	0.09446299965
186	0.09368008942
187	0.09289764163
188	0.09222824868
189	0.09153526945
190	0.09111048906
191	0.09045199257
192	0.08991014988
193	0.08944683884
194	0.08835036436
195	0.08778227969
196	0.08711992407
197	0.08654233423
198	0.086007383
199	0.08542595547
200	0.08482047126
201	0.08411215112
202	0.0833841835
203	0.08285055829
204	0.08225083872
205	0.08198929814
206	0.08151091616
207	0.08075819224
208	0.0806407668
209	0.07999836786
210	0.07964488872
211	0.07908985976
212	0.07891586446
213	0.07850619576
214	0.07805141722
215	0.07768568925
216	0.07728635437
217	0.07669438035
218	0.07637145648
219	0.07588113335
220	0.07545037564
221	0.07502152068
222	0.07445359353
223	0.07401094308
224	0.07370820787
225	0.07311189818
226	0.07275166916
227	0.07228969915
228	0.07188566914
229	0.07128448658
230	0.07079534451
231	0.07034247976
232	0.06992973399
233	0.06962035922
234	0.06929321736
235	0.06878465766
236	0.06841713022
237	0.06797577943
238	0.06758732875
239	0.06717857358
240	0.06693687169
241	0.06657011711
242	0.06606382545
243	0.06563696395
244	0.06512967817
245	0.06469464394
246	0.06424241783
247	0.06398368924
248	0.06338734553
249	0.06314518979
250	0.06290862523
251	0.06249287318
252	0.06215690004
253	0.06161481832
254	0.06135331267
255	0.06086610859
256	0.06042830435
257	0.06005576184
258	0.05951142372
259	0.05905424752
260	0.05866085809
261	0.05830676513
262	0.05803432134
263	0.05738767468
264	0.05720310009
265	0.05673024771
266	0.0565511261
267	0.05615053416
268	0.05582058031
269	0.05538093737
270	0.05516876506
271	0.05502052203
272	0.05460190834
273	0.05406178116
274	0.05378842599
275	0.05353189189
276	0.05318524292
277	0.05281818311
